"file_time","timediff","sample_id","series","vessel","seriavessel","numbers","total_cells","viable_cells","viability","total_cells_per_ml","viable_cells_per_ml","average_diameter","average_circularity"
"2021-01-22 16:31:20.152+03",0,"207080221_v3_d0_m1","207080221","v3","207080221-v3","1",524,516,98.5,0.301,0.297,14.8,0.893
"2021-01-22 15:21:23.429+03",56,"207080221_v1tu_d3_m1","207080221","v1tu","207080221-v1tu","1",8391,8348,99.5,4.82,4.8,15,0.901
"2021-01-22 13:49:53.269+03",282,"207050121_v8_d12_m1","207050121","v8","207050121-v8","1",5510,5392,97.9,15.8,15.5,18.6,0.877
"2021-01-22 12:20:54.327+03",53,"485080221R_v3tu2_d2_e1","485080221R","v3tu2","485080221R-v3tu2","1",3729,3526,94.6,2.14,2.03,17.4,0.789
"2021-01-22 12:17:16.608+03",19,"485040221_v2_d1_m1","485040221","v2","485040221-v2","1",1791,1734,96.8,1.03,0.997,17.8,0.845
"2021-01-22 08:21:20.096+03",108,"207060121_v12_d4_e3","207060121","v12","207060121-v12","3",3962,3932,99.2,11.4,11.3,15.2,0.895
"2021-01-22 08:15:11.892+03",109,"207060121_v11_d4_e2","207060121","v11","207060121-v11","2",4088,4069,99.5,11.7,11.7,15.2,0.896
"2021-01-22 08:07:33.88+03",109,"207060121_v10_d4_e1","207060121","v10","207060121-v10","1",3733,3705,99.2,10.7,10.6,15.2,0.894
"2021-01-22 07:49:00.223+03",276,"207050121_v7_d11_e3","207050121","v7","207050121-v7","3",5264,5054,96,15.1,14.5,18.8,0.884
"2021-01-22 07:24:58.43+03",275,"207050121_v9_d11_e2","207050121","v9","207050121-v9","2",6156,6059,98.4,17.7,17.4,18.7,0.884
"2021-01-22 06:56:23.729+03",275,"207050121_v8_d11_e1","207050121","v8","207050121-v8","1",5886,5795,98.5,16.9,16.7,18.7,0.885
"2021-01-22 06:38:06.634+03",13,"485040221_v2_d0_e1","485040221","v2","485040221-v2","1",1565,1489,95.1,0.9,0.856,17.1,0.837
"2021-01-22 06:34:34.547+03",104,"485080221R_s133_v3_d2_m3","485080221R","s133","485080221R-s133","3",3290,3075,93.5,1.89,1.77,17.3,0.73
"2021-01-22 06:30:22.731+03",274,"207050121_v9_d11_e1","207050121","v9","207050121-v9","1",6043,5947,98.4,17.4,17.1,18.7,0.886
"2021-01-22 05:56:56.208+03",47,"207080221_v1tu_d2_e1","207080221","v1tu","207080221-v1tu","1",5597,5545,99.1,3.22,3.19,14.9,0.9
"2021-01-22 04:44:26.078+03",58,"484030121_v6_d2_e2","484030121","v6","484030121-v6","2",4795,4685,97.7,2.76,2.69,18.1,0.858
"2021-01-22 04:40:46.992+03",58,"484030121_v6_d2_e1","484030121","v6","484030121-v6","1",5005,4872,97.3,2.88,2.8,18.2,0.841
"2021-01-21 22:08:17.352+03",0,"207090221_f2000_d0","207090221","f2000","207090221-f2000","0",562,558,99.3,0.323,0.321,14.7,0.893
"2021-01-21 20:40:30.458+03",50,"484030121_v6_d2_m5","484030121","v6","484030121-v6","5",3243,3070,94.7,1.86,1.76,17.8,0.844
"2021-01-21 20:32:29.707+03",163,"485080221R_v3_d1_e4","485080221R","v3","485080221R-v3","4",2684,2594,96.6,1.54,1.49,17.3,0.744
"2021-01-21 20:02:17.717+03",53,"207090221_f500_d3","207090221","f500","207090221-f500","3",4056,4026,99.3,2.33,2.31,15.1,0.893
"2021-01-21 18:44:59.363+03",95,"207060121_v12_d4_m1","207060121","v12","207060121-v12","1",3233,3210,99.3,9.29,9.23,14.9,0.899
"2021-01-21 18:40:06.404+03",95,"207060121_v11_d4_m1","207060121","v11","207060121-v11","1",3165,3151,99.6,9.1,9.06,14.8,0.896
"2021-01-21 18:35:22.062+03",95,"207060121_v10_d4_m1","207060121","v10","207060121-v10","1",2997,2979,99.4,8.61,8.56,14.9,0.897
"2021-01-21 18:28:02.543+03",262,"207050121_v9_d11_m1","207050121","v9","207050121-v9","1",6141,6033,98.2,17.6,17.3,18.4,0.888
"2021-01-21 18:20:41.23+03",262,"207050121_v8_d11_m1","207050121","v8","207050121-v8","1",6268,6140,98,18,17.6,18.4,0.889
"2021-01-21 18:13:02.281+03",262,"207050121_v7_d11_m1","207050121","v7","207050121-v7","1",5777,5575,96.5,16.6,16,18.5,0.884
"2021-01-21 17:49:54.592+03",0,"207080221_vtu_d2_m1","207080221","vtu","207080221-vtu","1",4445,4416,99.3,2.56,2.54,15,0.89
"2021-01-21 17:14:35.682+03",0,"485040221_v2_d0_m1","485040221","v2","485040221-v2","1",1035,1017,98.3,0.595,0.585,16.4,0.89
"2021-01-21 13:55:41.442+03",47,"207090221_f500_d2","207090221","f500","207090221-f500","2",3240,3224,99.5,1.86,1.85,15.1,0.882
"2021-01-21 13:52:14.453+03",69,"485040221_f2000_d5","485040221","f2000","485040221-f2000","5",1488,862,57.9,0.855,0.495,16.3,0.804
"2021-01-21 12:52:47.898+03",42,"484030121_v6_d2_m1","484030121","v6","484030121-v6","1",2982,2835,95.1,1.71,1.63,18.1,0.849
"2021-01-21 12:29:02.342+03",155,"485080221R_v3_d1_e3","485080221R","v3","485080221R-v3","3",2636,2552,96.8,1.52,1.47,17.2,0.751
"2021-01-21 07:25:25.992+03",24,"207080221_v1tu_d1_e1","207080221","v1tu","207080221-v1tu","1",2904,2896,99.7,1.67,1.66,15.3,0.898
"2021-01-21 07:18:00.521+03",83,"207060121_v12_d3_e3","207060121","v12","207060121-v12","3",5536,5511,99.5,6.36,6.34,15.1,0.89
"2021-01-21 07:11:50.313+03",84,"207060121_v11_d3_e2","207060121","v11","207060121-v11","2",5733,5713,99.7,6.59,6.57,15.2,0.879
"2021-01-21 07:07:20.808+03",84,"207060121_v10_d3_e1","207060121","v10","207060121-v10","1",5212,5197,99.7,5.99,5.97,15.2,0.876
"2021-01-21 07:02:41.332+03",36,"484030121_v6_d1_e1","484030121","v6","484030121-v6","1",2666,2542,95.3,1.53,1.46,18.9,0.78
"2021-01-21 06:54:55.532+03",251,"207050121_v9_d10_e3","207050121","v9","207050121-v9","3",6061,5961,98.4,17.4,17.1,18.4,0.886
"2021-01-21 06:49:43.359+03",251,"207050121_v8_d10_e2","207050121","v8","207050121-v8","2",5798,5694,98.2,16.7,16.4,18.5,0.88
"2021-01-21 06:44:46.181+03",251,"207050121_v7_d10_e1","207050121","v7","207050121-v7","1",5834,5645,96.8,16.8,16.2,18.4,0.877
"2021-01-21 06:40:06.356+03",0,"485080221R_v3tu_d1_m1","485080221R","v3tu","485080221R-v3tu","1",2152,2031,94.4,1.24,1.17,17.4,0.684
"2021-01-20 20:26:23.07+03",26,"484030121_v6_d1_m1","484030121","v6","484030121-v6","1",1749,1716,98.1,1.01,0.986,18.6,0.828
"2021-01-20 20:00:35.282+03",139,"485080221R_v3_d1_e2","485080221R","v3","485080221R-v3","2",1557,1502,96.5,0.895,0.863,17.5,0.712
"2021-01-20 18:28:24.205+03",238,"207050121_v9_d10_m1","207050121","v9","207050121-v9","1",6014,5926,98.5,17.3,17,18,0.886
"2021-01-20 18:19:26.457+03",238,"207050121_v8_d10_m1","207050121","v8","207050121-v8","1",6022,5929,98.5,17.3,17,18,0.886
"2021-01-20 18:07:02.967+03",238,"207050121_v7_d10_m1","207050121","v7","207050121-v7","1",5876,5711,97.2,16.9,16.4,18.1,0.878
"2021-01-20 17:54:43.984+03",70,"207060121_v12_d3_m1","207060121","v12","207060121-v12","1",4313,4298,99.7,4.96,4.94,15,0.894
"2021-01-20 17:47:42.509+03",70,"207060121_v11_d3_m1","207060121","v11","207060121-v11","1",4344,4334,99.8,4.99,4.98,14.9,0.894
"2021-01-20 17:39:48.942+03",70,"207060121_v10_d3_m1","207060121","v10","207060121-v10","1",4247,4229,99.6,4.88,4.86,15,0.889
"2021-01-20 17:26:04.208+03",51,"207080221_v1_d1_m2","207080221","v1","207080221-v1","2",1775,1762,99.3,1.02,1.01,15.4,0.897
"2021-01-20 14:22:40.229+03",20,"484030121_v6_d0_m9","484030121","v6","484030121-v6","9",1114,1078,96.8,0.64,0.62,19,0.749
"2021-01-20 14:15:36.982+03",45,"485040221_f2000_d4","485040221","f2000","485040221-f2000","4",1787,1601,89.6,1.03,0.92,18.2,0.837
"2021-01-20 14:12:01.812+03",45,"485040221_f2000_d3","485040221","f2000","485040221-f2000","3",1652,1473,89.2,0.95,0.847,18,0.847
"2021-01-20 13:46:56.402+03",23,"207090221_f500_d1","207090221","f500","207090221-f500","1",1317,1301,98.8,0.757,0.748,15.6,0.89
"2021-01-20 13:42:18.877+03",45,"485040221_f2000_d2","485040221","f2000","485040221-f2000","2",1676,1506,89.9,0.963,0.866,18.1,0.857
"2021-01-20 11:43:37.157+03",72,"485080121R_v4_d3_e1","485080121R","v4","485080121R-v4","1",2734,866,31.7,1.57,0.498,15.5,0.796
"2021-01-20 07:43:32.8+03",60,"207060121_v12_d2_e1","207060121","v12","207060121-v12","1",6111,6094,99.7,3.51,3.5,15.1,0.888
"2021-01-20 07:36:19.336+03",60,"207060121_v11_d2_e1","207060121","v11","207060121-v11","1",6272,6258,99.8,3.61,3.6,15.2,0.888
"2021-01-20 07:30:03.518+03",60,"207060121_v10_d2_e2","207060121","v10","207060121-v10","2",5908,5897,99.8,3.4,3.39,15.3,0.877
"2021-01-20 07:21:38.018+03",13,"484030121_v6_d0_e1","484030121","v6","484030121-v6","1",1054,1026,97.3,0.606,0.59,18.1,0.829
"2021-01-20 07:18:03.423+03",60,"207060121_v10_d2_e1","207060121","v10","207060121-v10","1",5994,5977,99.7,3.45,3.44,15.2,0.884
"2021-01-20 07:14:31.739+03",227,"207050121_v9_d9_e1","207050121","v9","207050121-v9","1",6673,6563,98.4,19.2,18.9,17.2,0.887
"2021-01-20 07:10:57.03+03",227,"207050121_v8_d9_e2","207050121","v8","207050121-v8","2",6505,6404,98.4,18.7,18.4,17.4,0.881
"2021-01-20 07:07:21.499+03",227,"207050121_v7_d9_e2","207050121","v7","207050121-v7","2",6189,6071,98.1,17.8,17.4,17.8,0.88
"2021-01-20 07:00:25.74+03",227,"207050121_v8_d9_e1","207050121","v8","207050121-v8","1",3057,3001,98.2,17.6,17.3,17.3,0.892
"2021-01-20 06:56:58.523+03",0,"485080221R_v3tu2_d0_m1","485080221R","v3tu2","485080221R-v3tu2","1",1240,1195,96.4,0.713,0.687,17.4,0.76
"2021-01-20 06:52:40.671+03",227,"207050121_v7_d9_e1","207050121","v7","207050121-v7","1",2967,2895,97.6,17.1,16.6,17.6,0.891
"2021-01-20 06:37:00.924+03",0,"207080221_v1tu_d0_e1","207080221","v1tu","207080221-v1tu","1",1086,1081,99.5,0.624,0.621,15.4,0.892
"2021-01-20 04:02:36.949+03",104,"485080221R_v4_d5_m9","485080221R","v4","485080221R-v4","9",4092,3907,95.5,2.35,2.25,16.7,0.803
"2021-01-20 03:58:53.898+03",104,"485080221R_v4_d5_m8","485080221R","v4","485080221R-v4","8",4417,4241,96,2.54,2.44,16.9,0.812
"2021-01-20 03:55:11.578+03",104,"485080221R_v4_d5_m7","485080221R","v4","485080221R-v4","7",4597,4404,95.8,2.64,2.53,16.9,0.804
"2021-01-20 03:51:30.851+03",104,"485080221R_v4_d5_m6","485080221R","v4","485080221R-v4","6",4447,4232,95.2,2.56,2.43,17,0.776
"2021-01-20 02:32:32.697+03",121,"485080221R_v3_d5_m5","485080221R","v3","485080221R-v3","5",4662,4435,95.1,2.68,2.55,16.9,0.785
"2021-01-20 02:28:50.773+03",121,"485080221R_v3_d5_m4","485080221R","v3","485080221R-v3","4",5107,4895,95.8,2.94,2.81,16.9,0.76
"2021-01-20 02:19:03.264+03",121,"485080221R_v3_d5_m3","485080221R","v3","485080221R-v3","3",4162,3916,94.1,2.39,2.25,16.9,0.736
"2021-01-19 23:30:36.615+03",118,"485080221R_v3_d5_m2","485080221R","v3","485080221R-v3","2",4583,4430,96.7,2.63,2.55,16.9,0.791
"2021-01-19 23:02:50.398+03",59,"485080121R_v4_d3_m1","485080121R","v4","485080121R-v4","1",3029,1698,56.1,1.74,0.976,16,0.802
"2021-01-19 22:59:13.741+03",118,"485080221R_v3_d5_m1","485080221R","v3","485080221R-v3","1",4353,4173,95.9,2.5,2.4,17,0.773
"2021-01-19 19:37:54.615+03",1,"484030121_v6_d0_m6","484030121","v6","484030121-v6","6",702,675,96.2,0.404,0.388,18.1,0.847
"2021-01-19 19:13:53.798+03",47,"207060121_v12_d2_m1","207060121","v12","207060121-v12","1",3761,3745,99.6,2.16,2.15,15.2,0.897
"2021-01-19 19:07:12.056+03",48,"207060121_v11_d2_m1","207060121","v11","207060121-v11","1",3844,3823,99.5,2.21,2.2,15.2,0.893
"2021-01-19 19:00:10.967+03",48,"207060121_v10_d2_m1","207060121","v10","207060121-v10","1",3724,3705,99.5,2.14,2.13,15.2,0.889
"2021-01-19 18:31:00.572+03",0,"484030121_v6_d0_m5","484030121","v6","484030121-v6","5",598,568,95,0.344,0.326,17,0.843
"2021-01-19 18:27:28.669+03",0,"484030121_v6_d0_m4","484030121","v6","484030121-v6","4",590,565,95.8,0.339,0.325,17.3,0.829
"2021-01-19 18:23:56.865+03",0,"484030121_v6_d0_m3","484030121","v6","484030121-v6","3",574,535,93.2,0.33,0.308,17.7,0.814
"2021-01-19 18:14:25.602+03",0,"484030121_v6_d0_m1","484030121","v6","484030121-v6","1",597,581,97.3,0.343,0.334,17.4,0.857
"2021-01-19 17:59:13.747+03",28,"207080221_v1_d0_m2","207080221","v1","207080221-v1","2",740,735,99.3,0.425,0.422,15.3,0.891
"2021-01-19 17:54:46.343+03",214,"207050121_v9_d9_m1","207050121","v9","207050121-v9","1",6819,6699,98.2,19.6,19.3,17.1,0.892
"2021-01-19 17:51:12.699+03",214,"207050121_v8_d9_m1","207050121","v8","207050121-v8","1",7565,7435,98.3,21.7,21.4,17,0.884
"2021-01-19 17:47:35.355+03",214,"207050121_v7_d9_m1","207050121","v7","207050121-v7","1",6953,6808,97.9,20,19.6,17.2,0.881
"2021-01-19 17:14:10.896+03",126,"485080221R_v2_d3_m3","485080221R","v2","485080221R-v2","3",4618,4362,94.5,2.65,2.51,17.4,0.851
"2021-01-19 16:48:35.529+03",125,"485080221R_v2_d3_m1","485080221R","v2","485080221R-v2","1",4903,4695,95.8,2.82,2.7,17.8,0.86
"2021-01-19 15:25:25.594+03",124,"485080221R_v2","485080221R","v2","485080221R-v2","2",4391,4107,93.5,2.52,2.36,17.8,0.848
"2021-01-19 14:46:59.949+03",24,"207080221_v1_d1_m1","207080221","v1","207080221-v1","1",1256,1252,99.7,0.722,0.72,15.4,0.892
"2021-01-19 14:39:03.043+03",22,"485040221_f2000_d1","485040221","f2000","485040221-f2000","1",1680,1612,96,0.966,0.927,18.5,0.837
"2021-01-19 14:35:29.726+03",0,"207090221_f500_d0","207090221","f500","207090221-f500","0",557,536,96.2,0.32,0.308,15.4,0.876
"2021-01-19 13:15:21.187+03",70,"207090221_f125tu_d3","207090221","f125tu","207090221-f125tu","3",3335,3232,96.9,1.92,1.86,15.3,0.893
"2021-01-19 10:13:45.899+03",105,"485080221R_v3_d4_e1","485080221R","v3","485080221R-v3","1",3062,2948,96.3,1.76,1.69,16.9,0.757
"2021-01-19 10:01:43.604+03",0,"485080121R_v2tu2_d2_e2","485080121R","v2tu2","485080121R-v2tu2","2",3926,3801,96.8,2.26,2.18,18,0.842
"2021-01-19 09:42:51.157+03",59,"485080121R_v2_d2_e1","485080121R","v2","485080121R-v2","1",2527,2009,79.5,1.45,1.15,17.1,0.836
"2021-01-19 07:36:00.287+03",203,"207050121_v9_d8_e1","207050121","v9","207050121-v9","1",5958,5848,98.2,17.1,16.8,17.3,0.887
"2021-01-19 07:31:38.511+03",204,"207050121_v8_d8_e1","207050121","v8","207050121-v8","1",6165,6056,98.2,17.7,17.4,17.3,0.888
"2021-01-19 07:27:48.317+03",204,"207050121_v7_d8_e1","207050121","v7","207050121-v7","1",5979,5872,98.2,17.2,16.9,17.4,0.881
"2021-01-19 07:22:23.684+03",35,"207060121_v12_d1_e1","207060121","v12","207060121-v12","1",2332,2315,99.3,1.34,1.33,15.3,0.9
"2021-01-19 07:18:56.334+03",36,"207060121_v11_d1_e1","207060121","v11","207060121-v11","1",2197,2184,99.4,1.26,1.26,15.3,0.899
"2021-01-19 07:15:31.23+03",36,"207060121_v10_d1_e1","207060121","v10","207060121-v10","1",2274,2265,99.6,1.31,1.3,15.3,0.898
"2021-01-19 01:43:39.271+03",11,"207080221_v1_d0_e1","207080221","v1","207080221-v1","1",666,663,99.5,0.383,0.381,15.6,0.888
"2021-01-18 21:59:01.64+03",34,"485080121R_v4_d2_m2","485080121R","v4","485080121R-v4","2",2873,2580,89.8,1.65,1.48,17.6,0.822
"2021-01-18 21:51:31.741+03",93,"485080221R_v3_d4_m1","485080221R","v3","485080221R-v3","1",2903,2835,97.7,1.67,1.63,17,0.787
"2021-01-18 21:47:55.088+03",34,"485080121R_v4_d2_m1","485080121R","v4","485080121R-v4","1",2694,2353,87.3,1.55,1.35,17.6,0.846
"2021-01-18 21:44:22.207+03",70,"485080221R_v1_d3_e1","485080221R","v1","485080221R-v1","1",1016,596,58.7,0.584,0.343,17.2,0.799
"2021-01-18 21:40:50.795+03",44,"485080221R_v2tu2_d2_m1","485080221R","v2tu2","485080221R-v2tu2","1",3180,3074,96.7,1.83,1.77,18.2,0.847
"2021-01-18 20:35:18.418+03",105,"485080221R_v2_d2_e2","485080221R","v2","485080221R-v2","2",3113,3052,98,1.79,1.75,17.9,0.855
"2021-01-18 20:05:34.357+03",192,"207050121_v9_d8_m1","207050121","v9","207050121-v9","1",6348,6242,98.3,18.2,17.9,17.2,0.882
"2021-01-18 19:48:17.249+03",192,"207050121_v8_d8_m1","207050121","v8","207050121-v8","1",6335,6236,98.4,18.2,17.9,17.3,0.883
"2021-01-18 19:26:32.97+03",192,"207050121_v7_d8_m1","207050121","v7","207050121-v7","1",6104,6029,98.8,17.5,17.3,17.4,0.875
"2021-01-18 18:44:55.554+03",23,"207060121_v12_d1_m1","207060121","v12","207060121-v12","1",1367,1355,99.1,0.786,0.779,15.2,0.899
"2021-01-18 18:38:30.933+03",23,"207060121_v11_d1_m1","207060121","v11","207060121-v11","1",1448,1440,99.4,0.832,0.828,15.2,0.899
"2021-01-18 18:31:42.714+03",23,"207060121_v10_d1_m1","207060121","v10","207060121-v10","1",1373,1366,99.5,0.789,0.785,15.2,0.902
"2021-01-18 16:19:07.765+03",0,"485040221_f2000_d0_m1","485040221","f2000","485040221-f2000","1",974,950,97.5,0.56,0.546,17.1,0.845
"2021-01-18 15:42:27.476+03",100,"485080221R_v2_d3_m2","485080221R","v2","485080221R-v2","2",2704,2661,98.4,1.55,1.53,17.9,0.852
"2021-01-18 14:25:48.246+03",82,"485040221_f1000_d4_2","485040221","f1000","485040221-f1000","2",4369,4257,97.4,2.51,2.45,18.2,0.833
"2021-01-18 14:13:18.259+03",47,"207090221_f125tu_d2_m2","207090221","f125tu","207090221-f125tu","2",1721,1605,93.3,0.989,0.923,15.6,0.891
"2021-01-18 13:54:45.662+03",0,"207080221_v1_d0_m1","207080221","v1","207080221-v1","1",488,486,99.6,0.281,0.279,14.4,0.9
"2021-01-18 13:11:25.302+03",54,"207080221_f2000_d3","207080221","f2000","207080221-f2000","3",4405,4382,99.5,2.53,2.52,14.8,0.897
"2021-01-18 12:56:24.666+03",80,"485040221_f1000_d4_1","485040221","f1000","485040221-f1000","1",4233,4110,97.1,2.43,2.36,18.3,0.831
"2021-01-18 10:14:29.942+03",12,"485080221R_s133_v3_d3_e3","485080221R","s133","485080221R-s133","3",1950,1900,97.4,1.12,1.09,16.5,0.787
"2021-01-18 10:05:49.436+03",0,"485080221R_cdm4_v1_d3_m2","485080221R","cdm4","485080221R-cdm4","2",1062,774,72.9,0.61,0.445,17.4,0.832
"2021-01-18 09:57:41.068+03",0,"485080221R_cdm4_v1_d3_m1","485080221R","cdm4","485080221R-cdm4","1",1073,817,76.1,0.617,0.47,17.3,0.831
"2021-01-18 09:47:13.215+03",0,"485080221R_v2tu_CDM4_d1_e2","485080221R","v2tu","485080221R-v2tu","2",2634,2584,98.1,1.51,1.49,18.1,0.859
"2021-01-18 09:33:48.082+03",22,"485080121R_v4_d1_e2","485080121R","v4","485080121R-v4","2",2308,2153,93.3,1.33,1.24,17.7,0.854
"2021-01-18 06:43:31.848+03",47,"207080221_f2000_d2_m1","207080221","f2000","207080221-f2000","1",3707,3691,99.6,2.13,2.12,15.1,0.877
"2021-01-18 06:40:01.333+03",74,"485040221_f1000_d3_m1","485040221","f1000","485040221-f1000","1",3757,3682,98,2.16,2.12,18.3,0.842
"2021-01-18 04:59:48.497+03",9,"207060121_v12_d0_e1","207060121","v12","207060121-v12","1",842,837,99.4,0.484,0.481,15.1,0.894
"2021-01-18 04:50:06.598+03",9,"207060121_v11_d0_e1","207060121","v11","207060121-v11","1",906,899,99.2,0.521,0.517,15.2,0.891
"2021-01-18 04:39:02.976+03",9,"207060121_v10_d0_e1","207060121","v10","207060121-v10","1",893,886,99.2,0.513,0.509,15,0.894
"2021-01-18 04:33:04.6+03",176,"207050121_v9_d7_e1","207050121","v9","207050121-v9","1",5952,5863,98.5,17.1,16.9,17.1,0.881
"2021-01-18 04:27:59.212+03",177,"207050121_v8_d7_e1","207050121","v8","207050121-v8","1",5754,5669,98.5,16.5,16.3,17,0.88
"2021-01-18 04:22:22.141+03",177,"207050121_v7_d7_e1","207050121","v7","207050121-v7","1",5875,5816,99,16.9,16.7,17.3,0.87
"2021-01-18 03:32:14.191+03",44,"207080221_f2000_d2","207080221","f2000","207080221-f2000","2",3504,3484,99.4,2.01,2,15.2,0.873
"2021-01-18 03:28:47.332+03",71,"485040221_f1000_d3","485040221","f1000","485040221-f1000","3",3892,3820,98.2,2.24,2.2,18.2,0.832
"2021-01-18 02:12:15.27+03",73,"485080221R_v3","485080221R","v3","485080221R-v3","3",1929,1885,97.7,1.11,1.08,16.6,0.784
"2021-01-17 21:41:15.238+03",0,"485080221R_#2_v4_d1_m1","485080221R","#2","485080221R-#2","1",2070,1985,95.9,1.19,1.14,18,0.867
"2021-01-17 21:37:40.881+03",0,"485080221R_s133_v3_d3_m1","485080221R","s133","485080221R-s133","1",1732,1703,98.3,0.996,0.979,16.5,0.803
"2021-01-17 21:34:06.555+03",20,"485080221R_CDM4_v1_d2_e1","485080221R","CDM4","485080221R-CDM4","1",1087,901,82.9,0.625,0.518,18.2,0.842
"2021-01-17 21:23:37.188+03",20,"485080221R_CDM4_v2_d1_m1","485080221R","CDM4","485080221R-CDM4","1",1600,1540,96.3,0.92,0.885,18.4,0.814
"2021-01-17 19:51:43.623+03",131,"485050121R_v6tu1_d5_e1","485050121R","v6tu1","485050121R-v6tu1","1",4097,1697,41.4,2.36,0.975,15.4,0.835
"2021-01-17 19:25:20.832+03",0,"207060121_v12_d0_m1","207060121","v12","207060121-v12","1",610,609,99.8,0.351,0.35,14.8,0.888
"2021-01-17 19:04:24.864+03",0,"207060121_v11_d0_m2","207060121","v11","207060121-v11","2",604,602,99.7,0.347,0.346,14.8,0.897
"2021-01-17 18:46:41.47+03",0,"207060121_v10_d0_m1","207060121","v10","207060121-v10","1",640,633,98.9,0.368,0.364,14.7,0.895
"2021-01-17 18:04:32.586+03",55,"207060121_v5tu_d2_e4","207060121","v5tu","207060121-v5tu","4",6616,6587,99.6,3.8,3.79,15,0.897
"2021-01-17 18:01:03.785+03",166,"207050121_v9_d7_m1","207050121","v9","207050121-v9","1",6051,5955,98.4,17.4,17.1,16.3,0.897
"2021-01-17 17:46:51.775+03",166,"207050121_v8_d7_m1","207050121","v8","207050121-v8","1",5862,5798,98.9,16.8,16.7,16.3,0.895
"2021-01-17 17:33:59.819+03",166,"207050121_v7_d7_m1","207050121","v7","207050121-v7","1",6075,6018,99.1,17.5,17.3,16.3,0.891
"2021-01-17 17:25:14.795+03",54,"207060121_v5tu_d2_e3","207060121","v5tu","207060121-v5tu","3",6451,6420,99.5,3.71,3.69,15,0.9
"2021-01-17 15:51:42.572+03",53,"207060121_v5tu_d2_e2","207060121","v5tu","207060121-v5tu","2",6149,6127,99.6,3.53,3.52,15.1,0.896
"2021-01-17 14:16:53.464+03",23,"207090221_f125tu_d1_m1","207090221","f125tu","207090221-f125tu","1",808,710,87.9,0.464,0.408,15.7,0.888
"2021-01-17 11:58:39.284+03",78,"207060121_v5_d2_m2","207060121","v5","207060121-v5","2",5431,5413,99.7,3.12,3.11,15,0.901
"2021-01-17 11:45:27.266+03",0,"485080221R_S133_v3_d2_e2","485080221R","S133","485080221R-S133","2",1438,1410,98.1,0.827,0.81,16.2,0.812
"2021-01-17 11:35:04.253+03",0,"485080221R_S133_v3_d2_e1","485080221R","S133","485080221R-S133","1",1372,1337,97.4,0.789,0.769,16.6,0.781
"2021-01-17 11:23:24.224+03",10,"485080221R_CDM4_v1_d2_m3","485080221R","CDM4","485080221R-CDM4","3",1107,979,88.4,0.636,0.563,18.3,0.846
"2021-01-17 11:15:47.855+03",9,"485080221R_CDM4_v1_d2_m2","485080221R","CDM4","485080221R-CDM4","2",1058,946,89.4,0.608,0.544,18.5,0.842
"2021-01-17 11:04:34.411+03",0,"485080121R_v4_d0_e1","485080121R","v4","485080121R-v4","1",1656,1614,97.5,0.952,0.928,17.6,0.861
"2021-01-17 09:49:40.841+03",47,"207060121_v5tu_d2_m2","207060121","v5tu","207060121-v5tu","2",5233,5209,99.5,3.01,2.99,15,0.896
"2021-01-17 09:46:08.946+03",8,"485080221R_CDM4_v2tu2_d0_e2","485080221R","CDM4","485080221R-CDM4","2",1188,1165,98.1,0.683,0.67,18.1,0.84
"2021-01-17 09:37:04.622+03",8,"485080221R_CDM4_v2tu2_d0_e1","485080221R","CDM4","485080221R-CDM4","1",1216,1189,97.8,0.699,0.683,18,0.836
"2021-01-17 06:58:07.176+03",155,"207050121_v9_d6_e1","207050121","v9","207050121-v9","1",5451,5360,98.3,15.7,15.4,16.4,0.895
"2021-01-17 06:46:47.86+03",155,"207050121_v8_d6_e1","207050121","v8","207050121-v8","1",5521,5458,98.9,15.9,15.7,16.4,0.897
"2021-01-17 06:41:55.306+03",155,"207050121_v7_d6_e1","207050121","v7","207050121-v7","1",5221,5170,99,15,14.9,16.6,0.892
"2021-01-17 06:26:23.359+03",117,"485050121R_v6tu1_d5_m1","485050121R","v6tu1","485050121R-v6tu1","1",4147,2014,48.6,2.38,1.16,15.6,0.834
"2021-01-17 05:11:30.876+03",22,"207080221_f2000_d1","207080221","f2000","207080221-f2000","1",1304,1292,99.1,0.75,0.743,15.2,0.883
"2021-01-17 05:08:05.174+03",49,"485040221_f1000_d2","485040221","f1000","485040221-f1000","2",2442,2403,98.4,1.4,1.38,18.3,0.85
"2021-01-17 01:21:54.87+03",0,"485080221R_CDM4_v1_d1_e1","485080221R","CDM4","485080221R-CDM4","1",1057,977,92.4,0.608,0.562,18.6,0.831
"2021-01-17 01:18:19.024+03",0,"485080221Rs133_v3_d2_e1","485080221Rs133","v3","485080221Rs133-v3","1",1434,1404,97.9,0.824,0.807,16.5,0.788
"2021-01-17 01:14:44.262+03",0,"485080221R_v2tu2_d0_m1","485080221R","v2tu2","485080221R-v2tu2","1",1211,1200,99.1,0.696,0.69,17.4,0.874
"2021-01-16 22:43:20.364+03",64,"207060121_v5_d1_e1","207060121","v5","207060121-v5","1",3112,3090,99.3,1.79,1.78,15.1,0.9
"2021-01-16 22:03:51.045+03",0,"485080121R_v2_d0_m1","485080121R","v2","485080121R-v2","1",1337,1298,97.1,0.769,0.746,17.4,0.846
"2021-01-16 22:00:19.389+03",26,"485080221R_v4_d2_e1","485080221R","v4","485080221R-v4","1",4639,4536,97.8,2.67,2.61,17.4,0.856
