"file_time","timediff","sample_id","series","vessel","seriavessel","numbers","total_cells","viable_cells","viability","total_cells_per_ml","viable_cells_per_ml","average_diameter","average_circularity"
"2021-03-04 13:08:50.98+03",0,"484120321_ v14_d0_e1","484120321"," v14","484120321- v14","1",1238,1163,93.9,0.712,0.669,17.3,0.688
"2021-03-04 12:05:26.321+03",0,"90100321_f500_d0","90100321","f500","90100321-f500","0",582,551,94.7,0.335,0.317,17.4,0.862
"2021-03-04 09:49:48.121+03",20,"186010421_f125_d1","186010421","f125","186010421-f125","1",808,699,86.5,0.464,0.402,15.7,0.882
"2021-03-04 09:45:42.55+03",67,"90100321_f125_d2","90100321","f125","90100321-f125","2",3025,2877,95.1,1.74,1.65,17.2,0.871
"2021-03-04 07:33:47.565+03",127,"207160321_v5_d3_e1","207160321","v5","207160321-v5","1",6254,6239,99.8,3.59,3.59,15.1,0.89
"2021-03-04 07:30:19.504+03",19,"207180321_v2_d1_e1","207180321","v2","207180321-v2","1",991,987,99.6,0.57,0.567,15.4,0.892
"2021-03-04 03:41:10.168+03",0,"484120321_v14_d0_m2","484120321","v14","484120321-v14","2",817,788,96.5,0.47,0.453,17.2,0.826
"2021-03-04 03:37:37.831+03",0,"484120321_v14_d0_m1","484120321","v14","484120321-v14","1",876,833,95.1,0.504,0.479,17.1,0.804
"2021-03-04 03:19:06.798+03",118,"207140321_v9_d5_m1","207140321","v9","207140321-v9","1",6097,6067,99.5,17.5,17.4,14.5,0.894
"2021-03-04 03:15:35.007+03",118,"207140321_v8_d5_m1","207140321","v8","207140321-v8","1",5719,5692,99.5,16.4,16.4,14.3,0.893
"2021-03-04 03:12:04.27+03",118,"207140321_v7_d5_m1","207140321","v7","207140321-v7","1",5733,5700,99.4,16.5,16.4,14.6,0.889
"2021-03-04 00:41:52.437+03",75,"484120321_v1_d3_m5","484120321","v1","484120321-v1","5",4699,4490,95.6,2.7,2.58,18.4,0.773
"2021-03-04 00:38:12.39+03",75,"484120321_v1_d3_m4","484120321","v1","484120321-v1","4",4617,4393,95.1,2.65,2.53,18.2,0.772
